SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC14026,54,0,462,0,725,0.8,725,1.6
SSC14027,68,0,525,0,0,0.5,949,2
SSC14028,40,932,383,220,866,1.1,824,3
SSC14029,40,575,492,25,949,0.7,756,2.4
SSC14030,59,2500,597,0,1624,0.6,1312,2
SSC14031,0,0,0,0,0,0,0,0
SSC14032,73,0,466,0,0,0,0,0
SSC14033,52,1233,474,250,1147,0.8,973,2.5
SSC14034,56,2908,749,0,2250,0.9,1625,2.5
SSC14035,53,1993,470,300,1021,0.9,696,2
SSC14036,0,0,0,0,0,0,0,0
SSC14037,46,1021,661,133,1406,0.6,1125,2
SSC14038,59,0,416,0,1024,0.6,1024,2
SSC14039,55,0,587,0,900,0.8,1187,2.4
SSC14040,50,0,249,0,0,0,0,0
SSC14041,45,1602,618,285,1570,0.9,1394,2.8
SSC14042,40,2178,469,0,1312,0.8,1281,3.1
SSC14043,34,1777,412,320,1274,0.8,749,3.2
SSC14044,56,3800,624,150,1562,0.6,1187,2.4
SSC14045,53,824,384,0,1041,0.8,737,2
SSC14046,44,0,437,190,849,1.1,900,3.8
SSC14047,56,0,274,0,0,0,425,1
SSC14048,41,2167,599,375,1375,1,1042,2.7
SSC14049,45,1733,662,285,1541,0.6,1166,2.1
SSC14050,54,1967,654,225,1421,0.8,1402,2.5
SSC14051,45,1278,520,220,1254,0.7,957,2.3
SSC14052,52,563,530,80,1145,0.7,863,2.2
SSC14053,17,0,674,0,0,1.2,0,0
SSC14054,39,0,550,0,1274,1,725,2.5
SSC14055,37,1300,690,265,1524,0.8,1426,2.6
SSC14056,57,0,589,0,1125,0.5,1062,1.5
SSC14057,52,921,385,185,740,0.7,657,2
SSC14058,26,0,820,0,2249,0,2249,0
SSC14059,43,2501,929,400,2374,0.8,2166,2.7
SSC14060,54,2000,453,275,1208,0.7,1156,2.4
SSC14061,54,1517,501,273,1145,0.7,931,2.1
SSC14062,50,1300,468,200,1208,0.8,933,2.7
SSC14063,39,1950,708,210,1885,0.8,1760,2.8
SSC14064,34,1268,488,240,1110,0.8,892,2.2
SSC14065,45,2000,707,420,2049,0.7,1795,2.7
SSC14066,47,1348,553,280,1224,0.8,1135,2.5
SSC14067,45,1733,540,270,1398,0.9,1245,2.8
SSC14068,53,1636,505,315,1237,0.7,951,2.2
SSC14069,43,1950,729,360,2054,0.8,1756,2.8
SSC14070,49,2867,638,450,1781,0.6,1812,2.8
SSC14071,40,3467,1099,650,3434,0.9,2741,2.8
SSC14072,48,1761,555,240,1525,0.7,1275,2.6
SSC14073,51,1500,567,205,1180,0.7,959,2.2
SSC14074,35,1950,381,177,993,1,781,2.9
SSC14075,50,1800,654,330,1516,0.7,1252,2.2
SSC14076,46,2167,606,395,1679,0.9,1197,2.4
SSC14077,0,0,0,0,0,0,0,0
SSC14078,56,1733,575,0,1937,0.6,1791,2
SSC14079,35,2500,988,300,2762,0.8,2820,3.3
SSC14080,33,2015,682,440,1828,0.8,1598,2.9
SSC14081,0,0,0,0,0,0,0,0
SSC14082,55,867,355,170,725,0.9,525,1.9
SSC14083,38,1517,712,265,1663,0.8,1195,2
SSC14084,54,2500,807,300,2218,0.7,1531,2.2
SSC14085,41,3000,912,600,3005,0.8,2584,2.9
