,ASGS_Code_2016,Tot_P_P
POA2481,2481,11769
POA2482,2482,6280
POA2483,2483,10609
POA2484,2484,18872
POA2485,2485,14373
POA2486,2486,31594
POA2487,2487,13436
POA2488,2488,3261
POA2489,2489,7353
POA2490,2490,666
POA2500,2500,40510
POA2502,2502,12438
POA2505,2505,5014
POA2506,2506,7605
POA2508,2508,8975
POA2515,2515,11112
POA2516,2516,6105
POA2517,2517,13731
POA2518,2518,19067
POA2519,2519,16929
POA2522,2522,300
POA2525,2525,11564
POA2526,2526,15630
POA2527,2527,21383
POA2528,2528,23774
POA2529,2529,26025
POA2530,2530,32019
POA2533,2533,15627
POA2534,2534,5709
POA2535,2535,7338
POA2536,2536,17716
POA2537,2537,11812
POA2538,2538,2397
POA2539,2539,17979
POA2540,2540,45121
POA2541,2541,25641
POA2545,2545,1044
POA2546,2546,9121
POA2548,2548,7734
POA2549,2549,3785
POA2550,2550,15858
POA2551,2551,3501
POA2555,2555,225
POA2556,2556,2507
POA2557,2557,8952
POA2558,2558,11114
POA2559,2559,3069
POA2560,2560,76521
POA2563,2563,307
POA2564,2564,13924
POA2565,2565,19987
POA2566,2566,26327
POA2567,2567,38500
POA2568,2568,1150
POA2569,2569,1362
POA2570,2570,40104
POA2571,2571,11850
POA2572,2572,4477
POA2573,2573,5067
POA2574,2574,5741
POA2575,2575,15476
POA2576,2576,13431
POA2577,2577,15414
POA2578,2578,2689
POA2579,2579,4029
POA2580,2580,29224
POA2581,2581,2095
POA2582,2582,12442
POA2583,2583,4382
POA2584,2584,543
POA2585,2585,224
POA2586,2586,2619
POA2587,2587,2917
POA2588,2588,260
POA2590,2590,7093
POA2594,2594,11672
POA2619,2619,9508
POA2620,2620,39289
POA2621,2621,6056
POA2622,2622,3922
POA2623,2623,610
POA2625,2625,389
POA2626,2626,500
POA2627,2627,4622
POA2628,2628,1912
POA2629,2629,529
POA2630,2630,8691
POA2631,2631,570
POA2632,2632,1834
POA2633,2633,379
POA2640,2640,36343
POA2641,2641,15070
POA2642,2642,4793
POA2643,2643,2777
POA2644,2644,2403
POA2645,2645,402
POA2646,2646,6758
POA2647,2647,2161
POA2648,2648,2369
POA2649,2649,26
POA2650,2650,56974
POA2651,2651,2274
POA2652,2652,4583
POA2653,2653,2537
POA2655,2655,1336
POA2656,2656,1272
POA2658,2658,1433
POA2659,2659,893
POA2660,2660,1610
POA2661,2661,633
POA2663,2663,5186
POA2665,2665,2226
POA2666,2666,5673
POA2668,2668,459
POA2669,2669,1654
POA2671,2671,4112
POA2672,2672,1576
POA2675,2675,1562
POA2678,2678,340
POA2680,2680,23940
POA2681,2681,1732
POA2700,2700,4922
POA2701,2701,2388
POA2702,2702,779
POA2703,2703,984
POA2705,2705,10153
POA2706,2706,1162
POA2707,2707,1348
POA2710,2710,10123
POA2711,2711,3360
POA2712,2712,1356
POA2713,2713,2797
POA2714,2714,2769
POA2715,2715,1477
POA2716,2716,1102
POA2717,2717,1330
POA2720,2720,8012
POA2721,2721,240
POA2722,2722,3207
POA2725,2725,374
POA2726,2726,222
POA2727,2727,350
POA2729,2729,1696
POA2730,2730,1391
POA2731,2731,6410
POA2732,2732,1776
POA2733,2733,545
POA2734,2734,456
POA2735,2735,448
POA2736,2736,377
POA2737,2737,839
POA2738,2738,1667
POA2739,2739,1401
POA2745,2745,29504
POA2747,2747,42421
POA2748,2748,1877
POA2749,2749,16930
POA2750,2750,44806
POA2752,2752,4918
POA2753,2753,17134
POA2754,2754,5693
POA2755,2755,261
POA2756,2756,33932
POA2757,2757,852
POA2758,2758,8715
POA2759,2759,26332
POA2760,2760,33834
POA2761,2761,30952
POA2762,2762,4983
POA2763,2763,30880
POA2765,2765,16106
POA2766,2766,15534
POA2767,2767,22530
POA2768,2768,28762
POA2769,2769,11731
POA2770,2770,61296
POA2773,2773,6010
POA2774,2774,12932
POA2775,2775,1498
POA2776,2776,4025
POA2777,2777,17601
POA2778,2778,2432
POA2779,2779,4974
POA2780,2780,13224
POA2782,2782,6076
POA2783,2783,2614
POA2784,2784,1230
POA2785,2785,4543
POA2786,2786,1288
POA2787,2787,4448
POA2790,2790,15767
POA2791,2791,343
POA2792,2792,384
POA2793,2793,976
POA2794,2794,10428
POA2795,2795,42550
POA2797,2797,426
POA2798,2798,2101
POA2799,2799,4121
POA2800,2800,44993
POA2803,2803,281
POA2804,2804,2668
POA2805,2805,399
POA2806,2806,779
POA2807,2807,427
POA2808,2808,182
POA2809,2809,240
POA2810,2810,3150
POA2817,2817,287
POA2818,2818,871
POA2820,2820,7316
POA2821,2821,4810
POA2822,2822,410
POA2823,2823,1425
POA2824,2824,2183
POA2825,2825,2383
POA2826,2826,201
POA2827,2827,3691
POA2828,2828,831
POA2829,2829,3102
POA2830,2830,40291
POA2831,2831,1919
POA2832,2832,2568
POA2833,2833,650
POA2834,2834,2340
POA2835,2835,4173
POA2836,2836,891
POA2838,2838,247
POA2839,2839,1338
POA2840,2840,2695
POA2842,2842,630
POA2843,2843,1290
POA2844,2844,1437
POA2845,2845,1980
POA2846,2846,275
POA2847,2847,2424
POA2848,2848,1645
POA2849,2849,1546
POA2850,2850,17644
POA2852,2852,3543
POA2864,2864,804
POA2865,2865,865
POA2866,2866,3093
POA2867,2867,602
POA2868,2868,652
POA2869,2869,1449
POA2870,2870,12042
POA2871,2871,9349
POA2873,2873,561
POA2874,2874,424
POA2875,2875,973
POA2876,2876,421
POA2877,2877,3883
POA2878,2878,372
POA2879,2879,638
POA2880,2880,18276
POA2898,2898,382
